,Ex-Showroom/ On-Road,Price,company,model,variant
283,Hyderabad,Rs.13.50 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder E
284,Chennai,Rs.13.61 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder E
285,Ahmedabad,Rs.12.29 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder E
286,Lucknow,Rs.12.72 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder E
287,Jaipur,Rs.12.88 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder E
288,Patna,Rs.12.83 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder E
289,Chandigarh,Rs.12.72 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder E
290,Ex-Showroom Price,"Rs.12,02,299",mahindra,xuv300,XUV300 W8 Turbosport BSVI
291,Ex-Showroom Price,"Rs.13,12,830",MARUTI,XL6,XL6 Alpha Plus Dual Tone
292,Bangalore,Rs.16.10 Lakh*,MARUTI,XL6,XL6 Alpha Plus Dual Tone
293,Mumbai,Rs.15.39 Lakh*,MARUTI,XL6,XL6 Alpha Plus Dual Tone
